# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\Background\Beach.png	248	0	248
100	textures\Character\MarcoRossi1.png	255	255	255
101	textures\Chowmein Conga.png	3	26	110
300	textures\Miscellaneous\Weapon.png	0	248	0
# id	left	top	right	bottom	texture_id
[SPRITES]
#Bullet
2100	210001	100	210002	100	210003	100	210004	100	210005	100	210006	100	210007	100
#Bullet
30000	300001	100
701	100001	100	100002	100	100003	100	100004	100	100005	100	100006	100	100007	100
# === BODY ===
#drop
1100	110001	100
#idle
1101	110101	100	110102	100	110103	100	110104	100
#walk
1102	110201	100	110202	100	110203	100	110204	100	110205	100	110206	100	110207	100	110208	100	110209	100	110210	100	110211	100	110212	100
#throw
1103	110301	100	110302	100	110303	100	110304	100	110305	100
#jump
1104	110401	100	110402	100	110403	100	110404	100	110405	100	110406	100	110407	100	110408	100
#shoot-right
1105	110501	100	110502	100	110503	100	110504	100	110505	100	110506	100	110507	100	110508	100	110509	100	110510	100
#shoot-down
1106	110601	100	110602	100	110603	100	110604	100	110605	100	110606	100	110607	100
# === FEET ===
#drop
1200	120001	100	120002	100	120003	100	120004	100	120005	100	120006	100
#idle
1201	120101	100
#walk-right
1202	120201	100	120202	100	120203	100	120204	100	120205	100	120206	100	120207	100	120208	100
#walk-right
1203	120301	100	120302	100	120303	100	120304	100	120305	100	120306	100	120307	100	120308	100
#jump
1204	120401	100	120402	100	120403	100	120404	100	120405	100	120406	100
#jump and drop
1205	120501	100	120502	100	120503	100	120504	100	120505	100	120506	100	120507	100	120508	100	120509	100	120510	100	120511	100	120512	100
# === BACKGROUND ===
3600	360001	100
# === ANIMATED OBJECT ===
#WAVE EFFECT 1
3900	390001	100	390002	100	390003	100	390004	100	390005	100	390006	100	390007	100	390008	100
#WAVE EFFECT 2
3901	390101	100	390102	100	390103	100	390104	100	390105	100	390106	100	390107	100	390108	100
#SAND BACKGROUND 1
3902	390201	100
# === PARALLAX ===
4300	430001	100

# id	ani1	ani2	ani3
[ANIMATION_SETS]
#BULLET
3000	30000
# GOOMBA
3	701	2100	701
# === BODY ===
11	1100	1101	1102	1103	1104	1105	1106
# === FEET ===
12	1200	1201	1202	1203	1204	1205
# === BACKGROUND ===
36	3600
# === ANIMATED OBJECT ===
#WAVE EFFECT 1, WAVE EFFECT 2,
39	3900	3901	3902
# === PARALLAX ===
43	4300

# type	x	y	ani_set_id	extra_settings per object type
[OBJECTS]
# === PARALLAX ===
#43	0	289	43
# === BACKGROUND === (type, x, y, ani_set_id, width)
#36	0	222	36	1608
#SANDBACKGROUND (ANIMATED OBJECT)
39	344	85	39	2
# === MARCO ROSSI ===
10	10	100	0	2
# === FEET ===
12	14	80	12
# === BODY ===
11	10	100	11
# === ANIMATED OBJECT ===
# type	x	y	ani_set_id	ani_obj_id (type_id)
#WAVE EFFECT 1
39	0	64	39	0
#WAVE EFFECT 2
39	0	40	39	1

#Conga
2	200	109	3
2	260	109	3
2	320	109	3
#Bullet
999	10	200	3000
999	10	200	3000
999	10	200	3000
999	10	200	3000

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	300	98	0	316	150	2
[QUADTREE]
Quadtree\Quadtree1-1.txt
